Timeline Summary
Timeline Name,seq5.Exported.01
Timeline Edit Rate,25.0
Timeline Start TC,10:20:00:13
Timeline Length,00:02:03:12 (3087 frames)
Total Timeline Events,43
Total Unique Source Clips,36

Event Number,Clip Name,Source File Name,Source File Path (URL),DiskLabel,TapeID,SourceMobID,Source TrackID,Source Edit Rate,Source Clip Start TC,Source Offset TC,Event Start Time (from source),Event End Time (from source),Event Length (frames),Timeline Start TC,Source Clip Start (frames),Source Offset (frames),Event Start Time (frames)
1,WW2D_News_08_HITLER'S SON_v01.mov,WW2D_News_08_HITLER'S SON_v01.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/05_GFX/2025_06_16/WW2D_EP1_GRADED_GFX_News_BATCH_v01/WW2D_News_08_HITLER'S%20SON_v01.mov,WW2D_EP1_GRADED_GFX_News_BATCH_v,WW2D_EP1_GRADED_GFX_News_BATCH_v01,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.fc39443c.08428006.db3c705a.0f36c137,N/A,25.0,00:00:00:00,00:00:00:00,00:00:00:00,00:00:05:06,131,10:20:00:13,0,0,0
2,A002_C006_0425ZB_001.R3D,A002_C006_0425ZB_001.R3D,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_25/WW2D_250425_RED_A_002/A002_04254P.RDM/A002_C006_0425ZB.RDC/A002_C006_0425ZB_001.R3D,WW2D_250425_RED_A_002,WW2D_250425_RED_A_002,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.d6e0c6a4.07918006.01acecb1.d742a090,N/A,25.0,18:50:35:06,00:00:25:05,18:51:00:11,18:51:04:18,107,10:20:05:19,1695881,630,1696511
3,WW2D_ARC_176_M_SHUTTERSTOCK_12106599A_EVA-BRAUN-SOFA-FUHRERBUNKER-1945_HITPAW.jpg,WW2D_ARC_176_M_SHUTTERSTOCK_12106599A_EVA-BRAUN-SOFA-FUHRERBUNKER-1945_HITPAW.jpg,file:///Z%3A/ARCHIVE%20AND%20DOWNLOADS/MASTER%20ARCHIVE/EP1/WW2D_ARC_176_M_SHUTTERSTOCK_12106599A_EVA-BRAUN-SOFA-FUHRERBUNKER-1945_HITPAW.jpg,Fuhrerbunker,Fuhrerbunker,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.3da4faf6.05788006.e3ee0060.dd4780cb,N/A,25.0,00:00:00:00,00:00:01:02,00:00:01:02,00:00:06:08,131,10:20:10:01,0,27,27
4,WW2D_ARC_1339_M_POND5_120335840.mov,WW2D_ARC_1339_M_POND5_120335840.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/02_ARCHIVE/2025_06_13/EP01/WW2D_ARC_1339_M_POND5_120335840.mov,ARCHIVE_EP01_25_06_13,ARCHIVE_EP01_25_06_13,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.6d84f8ff.08398006.9b4a6451.0657b63d,N/A,25.0,00:00:00:00,00:00:06:06,00:00:06:06,00:00:10:21,115,10:20:15:07,0,156,156
5,BOD_0689.MXF,BOD_0689.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_FX6_A_031/XDROOT/Clip/BOD_0689.MXF,WW2D_20250314_FX6_A_031,WW2D_20250314_FX6_A_031,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.14bf5697.07518006.fa9becb1.d733330a,N/A,25.0,10:40:06:13,00:00:32:17,10:40:39:05,10:40:41:02,47,10:20:19:22,960163,817,960980
6,A006_C005_0129CW_001.mov,A006_C005_0129CW_001.mov,file:///U%3A/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_01_29/WW2D_20250129_RED%20A_006/A006_0129AL.RDM/A006_C005_0129CW.RDC/A006_C005_0129CW_001.mov,WW2D_20250129_RED A_006,WW2D_20250129_RED A_006,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.2e256f81.07058006.0d41dc4a.3e8bff6f,N/A,25.0,15:30:10:11,00:00:44:20,15:30:55:06,15:30:59:04,98,10:20:21:19,1395261,1120,1396381
7,A005_C012_0129TP_001.mov,A005_C012_0129TP_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_01_29/WW2D_20250129_RED%20A_005/A005_012902.RDM/A005_C012_0129TP.RDC/A005_C012_0129TP_001.mov,WW2D_20250129_RED A_005,WW2D_20250129_RED A_005,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.5647495a.07068006.aa13dc4a.3e8bff6f,N/A,25.0,13:41:01:24,00:00:31:17,13:41:33:16,13:41:40:03,162,10:20:25:17,1231549,792,1232341
8,B005_C006_0314E3_001.mov,B005_C006_0314E3_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_RED%20B_011/B005_0314IL.RDM/B005_C006_0314E3.RDC/B005_C006_0314E3_001.mov,WW2D_20250314_RED B_011,WW2D_20250314_RED B_011,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.161d04ca.07518006.3511ecb1.d742a090,N/A,25.0,10:39:54:08,00:01:11:07,10:41:05:15,10:41:08:19,79,10:20:32:04,959858,1782,961640
9,A005_C006_0314DC_001.mov,A005_C006_0314DC_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_RED%20A_012/A005_0314CH/A005_0314CH.RDM/A005_C006_0314DC.RDC/A005_C006_0314DC_001.mov,WW2D_20250314_RED A_012,WW2D_20250314_RED A_012,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.a65643f5.07528006.b5edecb1.d742a090,N/A,25.0,10:39:52:16,00:01:02:09,10:40:55:00,10:40:57:09,59,10:20:35:08,959816,1559,961375
10,BOD_0689.MXF,BOD_0689.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_14/WW2D_20250314_FX6_A_031/XDROOT/Clip/BOD_0689.MXF,WW2D_20250314_FX6_A_031,WW2D_20250314_FX6_A_031,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.14bf5697.07518006.fa9becb1.d733330a,N/A,25.0,10:40:06:13,00:01:34:11,10:41:40:24,10:41:46:22,148,10:20:37:17,960163,2361,962524
