Event,MobID,DiskLabel,TapeID,URLString,EditRate,TimelineInTC,TimelineOutTC,SourceStartFrame,SourceOffsetTC,SourceAbsoluteTC,Length
1,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.edad5e92.07968006.75215065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C020_0430NW.RDC/A004_C020_0430NW_001.R3D,25.0,00:00:00:00,00:00:01:05,84,00:00:03:09,UNKNOWN,30
2,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.edad5e92.07968006.75215065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C020_0430NW.RDC/A004_C020_0430NW_001.R3D,25.0,00:00:00:00,00:00:01:05,84,00:00:03:09,UNKNOWN,30
3,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0e58932b.07968006.51025065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C024_04303O.RDC/A004_C024_04303O_001.R3D,25.0,00:00:00:00,00:00:01:13,2884,00:01:55:09,UNKNOWN,38
4,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0e58932b.07968006.51025065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C024_04303O.RDC/A004_C024_04303O_001.R3D,25.0,00:00:00:00,00:00:01:13,2884,00:01:55:09,UNKNOWN,38
5,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.9f754550.07688006.80623013.8bebd03f,,,file://MANC-NEXIS/CTVC_SOP_GENERICS/ARCHIVE%20AND%20DOWNLOADS/ARCHIVE_2025_04_03_HEINZ%20LINGE%20EVA%20BRAUN/WW2D_ARC_966_M_GETTY_537133695.jpg,25.0,00:00:00:00,00:00:14:17,240,00:00:09:15,UNKNOWN,367
6,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff887.05918006.2c8478ac.c03c8af9,ARCHIVE_2024_10_08,ARCHIVE_2024_10_08,file:///U%3A/BLINK/BLINK_WW2%20DECODED_NEARLINE/02_ARCHIVE/2024_10_08/WW2D_ARC_295_S_AP-MOVIETONE_BM64877.mp4,25.0,00:00:00:00,00:00:08:13,800,00:00:32:00,UNKNOWN,213
7,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.363ff887.05918006.2c8478ac.c03c8af9,ARCHIVE_2024_10_08,ARCHIVE_2024_10_08,file:///U%3A/BLINK/BLINK_WW2%20DECODED_NEARLINE/02_ARCHIVE/2024_10_08/WW2D_ARC_295_S_AP-MOVIETONE_BM64877.mp4,25.0,00:00:00:00,00:00:08:13,800,00:00:32:00,UNKNOWN,213
8,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.edad5e92.07968006.75215065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C020_0430NW.RDC/A004_C020_0430NW_001.R3D,25.0,00:00:00:00,00:00:01:05,84,00:00:03:09,UNKNOWN,30
9,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.edad5e92.07968006.75215065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C020_0430NW.RDC/A004_C020_0430NW_001.R3D,25.0,00:00:00:00,00:00:01:05,84,00:00:03:09,UNKNOWN,30
10,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0e58932b.07968006.51025065.f31b9dcf,WW2D_250430_RED_A_004,WW2D_250430_RED_A_004,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_30/WW2D_250430_RED_A_004/A004_04301J/A004_04301J.RDM/A004_C024_04303O.RDC/A004_C024_04303O_001.R3D,25.0,00:00:00:00,00:00:01:13,2884,00:01:55:09,UNKNOWN,38
